code,uz,ru
B06AC08,Sebetalstat,Себеталстат
C01AA,Digitalis glikozidlari,Гликозиды наперстянки
C01AA01,Asetildigitoksin,Ацетилдигитоксин
C01AA02,Asetildigoksin,Ацетилдигоксин
C01AA03,Digitalis glikozidlar yigʻindisi,Дигиталиса гликозидов сумма
C01AA04,Digitoksin,Дигитоксин
C01AA05,Digoksin,Дигоксин
C01AA06,Lanatozid S,Ланатозид Ц
C01AA07,Deslanozid,Десланозид
C01AA08,Metildigoksin,Метилдигоксин
C01AA09,Gitoformat,Гитоформат
C01AB,Dengiz piyozi glikozidlari,Гликозиды морского лука
C01AB01,Prossillaridin,Просцилларидин
C01AB51,Prossillaridin boshqa vositalar bilan majmuada,Просцилларидин в комбинации со средствами
C01AC,Strofant glikozidlari,Гликозиды строфанта
C01AC01,G-strofantin,G-cтрофантин
C01AC03,Simarin,Цимарин
C01AX,Boshqa yurak glikozidlari,Другие сердечные гликозиды
C01AX02,Peruvozid,Перувозид
C01BA,Ia sinfga mansub aritmiyaga qarshi preparatlar,"Антиаритмические препараты, класс Iа"
C01BA01,Xinidin,Хинидин
C01BA02,Prokainamid,Прокаинамид
C01BA03,Dizopiramid,Дизопирамид
C01BA04,Spartein,Спартеин
C01BA05,Aymalin,Аймалин
C01BA08,Praymalin,Праймалин
C01BA12,Loraymin,Лораймин
C01BA51,Xinidin boshqa vositalar bilan majmuada (psixotrop preparatlardan tashqari),Хинидин в комбинации со средствами (исключая психотропные препараты)
C01BA71,Xinidin psixotrop vositalar bilan majmuada,Хинидин в комбинации с психотропными средствами
C01BB,Ib sinfga mansub aritmiyaga qarshi preparatlar,"Антиаритмические препараты, класс Iв"
C01BB01,Lidokain,Лидокаин
C01BB02,Meksiletin,Мексилетин
C01BB03,Tokainid,Токаинид
C01BB04,Aprindin,Априндин
C01BC,Ic sinfga mansub aritmiyaga qarshi preparatlar,"Антиаритмические препараты, класс Iс"
C01BC03,Propafenon,Пропафенон
C01BC04,Flekainid,Флекаинид
C01BC07,Lorkainid,Лоркаинид
C01BC08,Enkainid,Энкаинид
C01BC09,Etatsizin,Этацизин
C01BD,III sinfga mansub aritmiyaga qarshi preparatlar,"Антиаритмические препараты, класс III"
C01BD01,Amiodaron,Амиодарон
C01BD02,Bretiliy tozilati,Бретилия тозилат
C01BD03,Bunaftin,Бунафтин
C01BD04,Dofetilid,Дофетилид
C01BD05,Ibutilid,Ибутилид
C01BD06,Tedizamil,Тедизамил
C01BD07,Dronedaron,Дронедарон
C01BG,I vа III sinfga mansub aritmiyaga qarshi preparatlar,"Другие антиаритмические препараты, классы I и III"
C01BG01,Moratsizin,Морацизин
C01BG07,Sibenzolin,Цибензолин
C01BG11,Vernakalant,Вернакалант
C01CA,Adrenergik va dofaminergik vositalar,Адренергические и дофаминергические средства
C01CA01,Etilefrin,Этилэфрин
C01CA02,Izoprenalin,Изопреналин
C01CA03,Norepinefrin,Норэпинефрин
C01CA04,Dopamin,Допамин
C01CA05,Norfenefrin,Норфенефрин
C01CA06,Fenilefrin,Фенилэфрин
C01CA07,Dobutamin,Добутамин
C01CA08,Oksedrin,Окседрин
C01CA09,Metaraminol,Метараминол
C01CA10,Metoksamin,Метоксамин
C01CA11,Mefentermin,Мефентермин
C01CA12,Dimetofrin,Диметофрин
C01CA13,Prenalterol,Преналтерол
C01CA14,Dopeksamin,Допексамин
C01CA15,Gepefrin,Гепефрин
C01CA16,Ibopamin,Ибопамин
C01CA17,Midodrin,Мидодрин
C01CA18,Oktopamin,Октопамин
C01CA19,Fenoldopam,Фенолдопам
C01CA21,Kafedrin,Кафедрин
C01CA22,Arbutamin,Арбутамин
C01CA23,Teodrenalin,Теодреналин
C01CA24,Epinefrin,Эпинефрин
C01CA30,Adreno- va dopamin-qoʻzgʻatuvchi majmuaviy preparatlar,Адрено- и допамин-стимулирующие препараты в комбинации
C01CA51,Etilefrin boshqa vositalar bilan majmuada,Этилэфрин в комбинации со средствами
C01CE,Fosfodiesteraza ingibitorlari,Ингибиторы фосфодиэстеразы
C01CE01,Amrinon,Амринон
C01CE02,Milrinon,Милринон
C01CE03,Enoksimon,Эноксимон
C01CE04,Bukladezin,Букладезин
C01CX,Boshqa kardiotonik vositalar,Другие кардиотонические средства
C01CX06,Angiotenzinamid,Ангиотензинамид
C01CX07,Ksamoterol,Ксамотерол
C01CX08,Levosimendan,Левосимендан
C01CX09,Angiotenzin II,Ангиотензин II
C01CX10,Omekamtiv mekarbil,Омекамтив мекарбил
C01DA,Organik nitratlar,Органические нитраты
C01DA02,Nitroglitserin,Нитроглицерин
C01DA04,Metilpropilpropandiola dinitrat,Метилпропилпропандиола динитрат
C01DA05,Pentaeritritil tetranitrati,Пентаэритритила тетранитрат
C01DA07,Propatilnitrat,Пропатилнитрат
C01DA08,Izosorbid dinitrati,Изосорбида динитрат
C01DA09,Trolnitrat,Тролнитрат
C01DA13,Eritritil tetranitrati,Эритритила тетранитрат
C01DA14,Izosorbid mononitrati,Изосорбида мононитрат
C01DA20,Organik nitratlar majmuada,Нитраты органические в комбинации
C01DA38,Tenitramin,Тенитрамин
C01DA52,Nitroglitserin boshqa vositalar bilan majmuada,Нитроглицерин в комбинации со средствами
C01DA54,Metilpropilpropandiol dinitrat boshqa vositalar bilan majmuada,Метилпропилпропандиол динитрат в комбинации со средствами
C01DA55,Pentaeritritil tetranitrat boshqa vositalar bilan majmuada,Пентаэритритила тетранитрат в комбинации со средствами
C01DA57,Propatilnitrat boshqa vositalar bilan majmuada,Пропатилнитрат в комбинации со средствами
C01DA58,Izosorbid dinitrat boshqa vositalar bilan majmuada,Изосорбида динитрат в комбинации со средствами
C01DA59,Trolnitrat boshqa vositalar bilan majmuada,Тролнитрат в комбинации со средствами
C01DA63,Eritritil tetranitrat boshqa vositalar bilan majmuada,Эритритила тетранитрат в комбинации со средствами
C01DA70,Organik nitratlar psixotrop vositalar bilan majmuada,Нитраты органические в комбинации с психотропными средствами
C01DB,Xinolon vazodilatatorlar,Хинолоновые вазодилататоры
C01DB01,Flozexinan,Флозехинан
C01DX,Yurak kasalliklarini davolash uchun boshqa vazodilyatatorlar,Другие вазодилататоры для лечения заболеваний сердца
C01DX01,Itramin tozilati,Итрамина тозилат
C01DX02,Prenilamin,Прениламин
C01DX03,Oksifedrin,Оксифедрин
C01DX04,Benzyodaron,Бензйодарон
C01DX05,Karbokromen,Карбокромен
C01DX06,Geksobendin,Гексобендин
C01DX07,Etafenon,Этафенон
C01DX08,Geptaminol,Гептаминол
C01DX09,Imolamin,Имоламин
C01DX10,Dilazep,Дилазеп
C01DX11,Trapidil,Трапидил
C01DX12,Molsidomin,Молсидомин
C01DX13,Efloksat,Эфлоксат
C01DX14,Sinepazet,Цинепазет
C01DX15,Kloridarol,Клоридарол
C01DX16,Nikorandil,Никорандил
C01DX17,Trimetazidin,Триметазидин
C01DX18,Linsidomin,Линсидомин
C01DX19,Nesiritid,Несиритид
C01DX21,Serelaksin,Серелаксин
C01DX51,Itramin tozilati boshqa vositalar bilan majmuada,Итрамина тозилат в комбинации со средствами
C01DX52,Prenilamin boshqa vositalar bilan majmuada,Прениламин в комбинации со средствами
C01DX53,Oksifedrin boshqa vositalar bilan majmuada,Оксифедрин в комбинации со средствами
C01DX54,Benziodaron boshqa vositalar bilan majmuada,Бензиодарон в комбинации со средствами
C01EA,Prostaglandinlar,Простагландины
C01EA01,Alprostadil,Алпростадил
C01EB,Yurak kasalliklarini davolash uchun boshqa preparatlar,Другие препараты для лечения заболеваний сердца
C01EB02,Kamfora,Камфора
C01EB03,Indometatsin,Индометацин
C01EB04,Doʻlana glikozidlari,Боярышника гликозиды
C01EB05,Kreatinolfosfat,Креатинолфосфат
C01EB06,Fosfokreatin,Фосфокреатин
C01EB07,"Fruktozo-1,6-difosfat","Фруктозо-1,6-дифосфат"
C01EB09,Ubidekarenon,Убидекаренон
C01EB10,Adenozin fosfat,Аденозина фосфат
C01EB11,Tiratsizin,Тирацизин
C01EB12,Tedizamil,Тедизамил
C01EB13,Akadezin,Акадезин
C01EB14,Lanreotid,Ланреотид
C01EB15,Trimetazidin,Триметазидин
C01EB16,Ibuprofen,Ибупрофен
C01EB17,Ivabradin,Ивабрадин
C01EB18,Ranolazin,Ранолазин
C01EB19,Ikatibant,Икатибант
C01EB22,Meldoniy,Мельдоний
C01EB23,Tiazot kislota,Тиазотовая кислота
C01EB25,Akoramidis,Акорамидис
C01EX,"Yurak kasalliklarini davolash uchun preparatlar, majmuada va boshqalar",Препараты для лечения заболеваний сердца комбинированные другие
C02AA,Rauvolfi alkoloidlari,Алкалоиды раувольфии
C02AA01,Ressinnamin,Ресциннамин
C02AA02,Rezerpin,Резерпин
C02AA03,Raufolfiya alkaloidlar majmuasi,Рауфольфии алкалоидов комбинация
C02AA04,Raufolfi alkaloidlar yigʻindisi,Раувольфии алкалоидов сумма
C02AA05,Dezerpidin,Дезерпидин
C02AA06,Metozerpidin,Метозерпидин
C02AA07,Bietaserpin,Биэтасерпин
C02AA52,Rezerpin boshqa vositalar bilan majmuada,Резерпин в комбинации со средствами
C02AA53,Raufolfiya alkaloidlar yigʻindisi boshqa vositalar bilan majmuada,Раувольфии алкалоидов сумма в комбинации со средствами
C02AA57,Bietazerpin boshqa vositalar bilan majmuada,Биэтазерпин в комбинации со средствами
C02AB,Metildopa,Метилдопа
C02AB01,Metildopa (chapga aylanuvchi),Метилдопа (левовращающая)
C02AB02,Metildopa,Метилдопа
C02AC,Imidazolin retseptorlari agonistlari,Агонисты имидазолиновых рецепторов
C02AC01,Klonidin,Клонидин
C02AC02,Guanfatsin,Гуанфацин
C02AC04,Tolonidin,Толонидин
C02AC05,Moksonidin,Моксонидин
C02AC06,Rilmenidin,Рилменидин
C02BA,Sulfoniy hosilalari,Производные сульфония
C02BA01,Trimetafan,Триметафан
C02BB,Ikkilamchi va uchlamchi aminlar,Вторичные и третичные амины
C02BB01,Mekamilamin,Мекамиламин
C02BC,Bis-toʻrtlamchi ammoniy birikmalari,Бисчетвертичные аммониевые соединения
C02BC01,Diizopropilamin,Диизопропиламин
C02CA,Alfa-adrenoblokatorlar,Альфа-адреноблокаторы
C02CA01,Prazozin,Празозин
C02CA02,Indoramin,Индорамин
C02CA03,Trimazozin,Тримазозин
C02CA04,Doksazozin,Доксазозин
C02CA05,Terazozin,Теразозин
C02CA06,Urapidil,Урапидил
C02CC,Guanidin hosilalari,Производные гуанидина
C02CC01,Betanidin,Бетанидин
C02CC02,Guanetidin,Гуанетидин
C02CC03,Guanoksan,Гуаноксан
C02CC04,Debrizoxin,Дебризохин
C02CC05,Guanoklor,Гуаноклор
C02CC06,Guanazodin,Гуаназодин
C02CC07,Guanoksabenz,Гуаноксабенз
C02DA,Tiazid hosilalari,Производные тиазида
C02DA01,Diazoksid,Диазоксид
C02DB,Gidrazinoftalazin hosilalari,Производные гидразинофталазина
C02DB01,Digidralazin,Дигидралазин
C02DB02,Gidralazin,Гидралазин
C02DB03,Endralazin,Эндралазин
C02DB04,Kadralazin,Кадралазин
C02DC,Pirimidin hosilalari,Производные пиримидина
C02DD01,Nitroprussid natriy,Нитропруссид натрия
C02DD,Nitroferritsianid hosilalari,Производные нитроферрицианида
C02DG,Guanidin hosilalari,Производные гуанидина
C02DG01,Pinatsidil,Пинацидил
C02KA,Alkaloidlar rauvolfi alkaloidlardan tashqari,"Алкалоиды, кроме алкалоидов раувольфии"
C02KA01,Chemeritsa,Чемерица
C02KB,Tirozingidroksilaza ingibitorlari,Ингибиторы тирозингидроксилазы
C02KB01,Metirozin,Метирозин
C02KC,Monoaminoksidaza ingibitorlari,Ингибиторы моноаминоксидазы
C02KC01,Pargilin,Паргилин
C02KD,Serotonin antagonistlari,Антагонисты серотонина
C02KD01,Ketanserin,Кетансерин
C02KN,Serotonin antagonistlari,Прочие антигипертензивные препараты
C02KN01,Aprotsitentan,Апроцитентан
C02KX,Oʻpka arterial gipertenziyasini davolash uchun antigipertenziv vositalar,Антигипертензивные средства для лечения легочной артериальной гипертензии
C02KX01,Bozentan,Бозентан
C02KX02,Ambrizentan,Амбризентан
C02KX03,Sitaksentan,Ситаксентан
C02KX04,Matsitentan,Мацитентан
C02KX05,Riotsiguat,Риоцигуат
C02KX06,Sotatersept,Сотатерцепт
C02KX52,Ambrisentan va tadalafil,Амбрисентан и тадалафил
C02LA,Rauvolfi alkoloidlari diuretiklar bilan majmuada,Алкалоиды раувольфии в комбинации с диуретиками
C02LA01,Rezerpin va diuretiklar,Резерпин и диуретики
C02LA02,Ressinnamin va diuretiklar,Ресциннамин и диуретики
C02LA03,Desepridin va diuretiklar,Десепридин и диуретики
C02LA04,Metoverpidin va diuretiklar,Метоверпидин и диуретики
C02LA07,Bietazerpin va diuretiklar,Биэтазерпин и диуретики
C02LA08,Rauvolfiya alkoloidlar diuretiklar bilan majmuada,Раувольфии алкалоидов сумма в комбинации с диуретиками
C02LA09,Sirosingopin diuretiklar bilan majmuada,Сиросингопин в комбинации с диуретиками
C02LA50,"Rauvolfiya alkoloidlar va diuretiklar, jumladan boshqa preparatlar bilan majmuada","Раувольфии алкалоиды и диуретики, в т.ч. в комбинации с другими препаратами"
C02LA51,Rezerpin va diuretiklar boshqa vositalar bilan majmuada,Резерпин и диуретики в комбинации со средствами
C02LA52,Ressinnamin va diuretiklar boshqa vositalar bilan majmuada,Ресциннамин и диуретики в комбинации со средствами
C02LA71,Rezerpin va diuretiklar psixotrop vositalar bilan majmuada,Резерпин и диуретики в комбинации с психотропными средствами
C02LB,Metildopa diuretiklar bilan majmuada,Метилдопа в комбинации с диуретиками
C02LB01,Metildopa (chapga aylanuvchi) diuretiklar bilan majmuada,Метилдопа (левовращающая) в комбинации с диуретиками
C02LC,Imidazolin retseptorlari agonistlari diuretiklar bilan majmuada,Агонисты имидазолиновых рецепторов в комбинации с диуретиками
C02LC01,Klonidin va diuretiklar,Клонидин и диуретики
C02LC05,Moksonidin va diuretiklar,Моксонидин и диуретики
C02LC51,Klonidin va diuretiklar boshqa vositalar bilan majmuada,Клонидин и диуретики в комбинации со средствами
C02LE,Alfa-adrenoblokatorlar diuretiklar bilan majmuada,Альфа-адреноблокаторы в комбинации с диуретиками
C02LE01,Prazozin va diuretiklar,Празозин и диуретики
C02LF,Guanidin hosilalari diuretiklar bilan majmuada,Производные гуанидина в комбинации с диуретиками
C02LF01,Guanetidin diuretiklar bilan majmuada,Гуанетидин в комбинации с диуретиками
C02LG,Gidrazinoftalazin hosilalari diuretiklar bilan majmuada,Производные гидразинофталазина в комбинации с диуретиками
C02LG01,Digidralazin va diuretiklar,Дигидралазин и диуретики
C02LG02,Gidralazin va diuretiklar,Гидралазин и диуретики
C02LG03,Pikodralazin va diuretiklar,Пикодралазин и диуретики
C02LG51,Digidralazin va diuretiklar boshqa vositalar bilan majmuada,Дигидралазин и диуретики в комбинации со средствами
C02LG73,Pikodralazin va diuretiklar psixotrop vositalar bilan majmuada,Пикодралазин и диуретики в комбинации с психотропными средствами
C02LK,"Alkaloidlar, rauvolfi alkoloidlaridan tashqari diuretiklar bilan majmuada","Алкалоиды, кроме алкалоидов раувольфии в комбинации с диуретиками"
C02LK01,Maralquloq preparatlari va diuretiklar,Чемерицы препараты и диуретики
C02LL,Monoaminoksidaza ingibitorlari diuretiklar bilan majmuada,Ингибиторы моноаминоксидазы в комбинации с диуретиками
C02LL01,Pargilin va diuretiklar,Паргилин и диуретики
C02LX,Boshqa antigipertenziv vositalar va diuretiklar,Другие антигипертензивные средства и диуретики
C02LX01,Pinatsidil va diuretiklar,Пинацидил и диуретики
C03AA,Tiazidlar,Тиазиды
C03AA01,Bendroflumetiazid,Бендрофлуметиазид
C03AA02,Gidroflumetiazid,Гидрофлуметиазид
C03AA03,Gidroxlorotiazid,Гидрохлоротиазид
C03AA04,Xlorotiazid,Хлоротиазид
C03AA05,Politiazid,Политиазид
C03AA06,Trixlormetiazid,Трихлорметиазид
C03AA07,Siklopentiazid,Циклопентиазид
C03AA08,Metiklotiazid,Метиклотиазид
C03AA09,Siklotiazid,Циклотиазид
C03AA13,Mebutizid,Мебутизид
C03AB,Tiazidlar kaliy tuzlari bilan majmuada,Тиазиды в комбинации с солями калия
C03AB01,Bendroflumetazid va kaliy,Бендрофлуметазид и калий
C03AB02,Gidroflumetiozid va kaliy,Гидрофлуметиозид и калий
C03AB03,Gidroxlorotiazid va kaliy,Гидрохлоротиазид и калий
C03AB04,Xlorotiazid va kaliy,Хлоротиазид и калий
C03AB05,Politiazid va kaliy,Политиазид и калий
C03AB06,Trixlormetiazid va kaliy,Трихлорметиазид и калий
C03AB07,Siklopentiazid va kaliy,Циклопентиазид и калий
C03AB08,Metiklotiazid va kaliy,Метиклотиазид и калий
C03AH,Tiazidlar psixotrop vositalari va/yoki analgetiklar bilan majmuada,Тиазиды в комбинации с психотропными средствами и/или анальгетиками
C03AH01,Xlorotiazid psixotrop vositalari va/yoki analgetiklar bilan majmuada,Хлоротиазид в комбинации с психотропными средствами и/или анальгетиками
C03AH02,Gidroflumetiazid psixotrop vositalari va/yoki analgetiklar bilan majmuada,Гидрофлуметиазид в комбинации с психотропными средствами и/или анальгетиками
C03AX,Tiazidlar vositalar bilan majmuada,Тиазиды в комбинации со средствами
C03AX01,Gidroxlorotiazid vositalar bilan majmuada,Гидрохлоротиазид в комбинации со средствами
C03BA,Sulfonamidlar,Сульфонамиды
C03BA02,Xinetazon,Хинетазон
C03BA03,Klopamid,Клопамид
C03BA04,Xlortalidon,Хлорталидон
C03BA05,Mefruzid,Мефрузид
C03BA07,Klofenamid,Клофенамид
C03BA08,Metolazon,Метолазон
C03BA09,Metikran,Метикран
C03BA10,Ksipamid,Ксипамид
C03BA11,Indapamid,Индапамид
C03BA12,Kloreksolon,Клорексолон
C03BA13,Fenxizon,Фенхизон
C03BA82,Kloreksolon psixotrop vositalar bilan majmuada,Клорексолон в комбинации с психотропными средствами
C03BB,Sulfonamidlar kaliy tuzlarii bilan majmuada,Сульфонамиды в комбинации с солями калия
C03BB02,Xinetazon va kaliy,Хинетазон и калий
C03BB03,Klopamid va kaliy,Клопамид и калий
C03BB04,Xlortalidon va kaliy,Хлорталидон и калий
C03BB05,Mefrusid va kaliy,Мефрусид и калий
C03BB07,Klofenamid va kaliy,Клофенамид и калий
C03BC,Simob saqlaydigan diuretiklar,Ртутьсодержащие диуретики
C03CB01,Furosemid va kaliy,Фуросемид и калий
C03CB02,Bumetanid va kaliy,Буметанид и калий
C03BD,Ksantin hosilalari,Производные ксантина
C03BD01,Teobromin,Теобромин
C03BK,Sulfanilamidlar boshqa preparatlar bilan majmuada,Сульфонамиды в комбинации с другими препаратами
C03CA,Sulfonamidlar,Сульфонамиды
C03CA01,Furosemid,Фуросемид
C03CA02,Bumetanid,Буметанид
C03CA03,Piretanid,Пиретанид
C03CA04,Torasemid,Торасемид
C03CB,Sulfonamidlar kaliy tuzlari bilan majmuada,Сульфонамиды в комбинации с солями калия
C03CC,Arilsirka kislotasi hosilalari,Производные арилоксиуксусной кислоты
C03CC01,Etakrin kislotasi,Этакриновая кислота
C03CC02,Tiyenil kislotasi,Тиениловая кислота
C03CD,Pirazolon hosilalari,Производные пиразолона
C03CD01,Muzolimin,Музолимин
C03CX,Boshqa \,Другие «петлевые» диуретики
C03CX01,Etozolin,Этозолин
C03DA,Aldosteron antagonistlari,Антагонисты альдостерона
C03DA01,Spironolakton,Спиронолактон
C03DA02,Kaliy kanrenoati,Калия канреноат
C03DA03,Kanrenon,Канренон
C03DA04,Eplerenon,Эплеренон
C03DA05,Finerenon,Финеренон
C03DB,Boshqa kaliyni tejovchi diuretiklar,Другие калийсберегающие диуретики
C03DB01,Amilorid,Амилорид
C03DB02,Triamteren,Триамтерен
C03EA,Tiazidga oʻxshash diuretiklar kaliyni tejovchi diuretiklar bilan majmuada,Тиазидоподобные диуретики в комбинации с калийсберегающими диуретиками
C03EA01,Gidroxlorotiazid kaliyni tejovchi preparatlar bilan majmuada,Гидрохлоротиазид в комбинации с калийсберегающими препаратами
C03EA02,Trixlormetiazid kaliyni tejovchi preparatlar bilan majmuada,Трихлорметиазид в комбинации с калийсберегающими препаратами
C03EA03,Epitizid kaliyni tejovchi preparatlar bilan majmuada,Эпитизид в комбинации с калийсберегающими препаратами
C03EA04,Altizid kaliyni tejovchi preparatlar bilan majmuada,Алтизид в комбинации с калийсберегающими препаратами
C03EA05,Mebutizid kaliyni tejovchi preparlar bilan majmuada,Мебутизид в комбинации с калийсберегающими препаратами
C03EA06,Xlortalidon kaliyni tejovchi preplar bilan majmuada,Хлорталидон в комбинации с калийсберегающими препаратами
C03EA07,Siklopentiazid kaliyni tejovchi plar bilan majmuada,Циклопентиазид в комбинации с калийсберегающими препаратами
C03EA12,Metolazon kaliyni tejovchi preparlar bilan majmuada,Метолазон в комбинации с калийсберегающими препаратами
C03EA13,Bendroflumetiazid kaliyni tejovchi preparatlar bilan majmuada,Бендрофлуметиазид в комбинации с калийсберегающими препаратами
C03EA14,Butizid kaliyni tejovchi preparatlar bilan majmuada,Бутизид в комбинации с калийсберегающими препаратами
C03EB,\,«Петлевые» диуретики в комбинации с калийсберегающими диуретиками
C03EB01,Furosemid kaliyni tejovchi preparlar bilan majmuada,Фуросемид в комбинации с калийсберегающими препаратами
C03EB02,Bumetanid kaliyni tejovchi preparlar bilan majmuada,Буметанид в комбинации с калийсберегающими препаратами
C03XA,Vazopressin antagonistlari,Антагонисты вазопрессина
C03XA01,Tolvaptan,Толваптан
C03XA02,Konivaptan,Кониваптан
C04AA,2-amino-1-feniletanol hosilalari,Производные 2-амино-1-фенилэтанола
C04AA01,Izoksuprin,Изоксуприн
C04AA02,Bufenin,Буфенин
C04AA31,Bametan,Баметан
C04AB,Imidazolin hosilalari,Производные имидазолина
C04AB01,Fentolamin,Фентоламин
C04AB02,Tolazolin,Толазолин
C04AC,Nikotin kislotasi va uning hosilalari,Никотиновая кислота и ее производные
C04AC01,Nikotin kislotasi,Никотиновая кислота
C04AC02,Nikotinli spirt (piridilkarbinol),Никотиниловый спирт (пиридилкарбинол)
C04AC03,Inozitol nikotinat,Инозитола никотинат
C04AC07,Siklonikat,Циклоникат
C04AD,Purin hosilalari,Производные пурина
C04AD01,Pentifillin,Пентифиллин
C04AD02,Ksantinol nikotinat,Ксантинола никотинат
C04AD03,Pentoksifillin,Пентоксифиллин
C04AD04,Etofillin nikotinat,Этофиллина никотинат
C04AE,Qorakuya alkaloidlari,Алкалоиды спорыньи
C04AE01,Ergoloid mezilat,Эрголоида мезилат
C04AE02,Nitsergolin,Ницерголин
C04AE04,Digidroergokristin,Дигидроэргокристин
C04AE51,Ergoloid mezilati boshqa vositalar bilan majmuada,Эрголоида мезилат в комбинации со средствами
C04AE54,Digidroergokristin boshqa vositalar bilan majmuada,Дигидроэргокристин в комбинации со средствами
C04AF,Ferment preparatlari,Ферментные препараты
C04AF01,Kallidinogenaza,Каллидиногеназа
C04AX,Boshqa periferik vazodilyatatorlar,Другие периферические вазодилататоры
C04AX01,Siklandelat,Цикланделат
C04AX02,Fenoksibenzamin,Феноксибензамин
C04AX07,Vinkamin,Винкамин
C04AX10,Moksizilit,Моксизилит
C04AX11,Bensiklan,Бенциклан
C04AX13,Piribedil,Пирибедил
C04AX17,Vinburnin,Винбурнин
C04AX19,Sulkotidil,Сулькотидил
C04AX20,Buflomedil,Буфломедил
C04AX21,Naftidrofuril,Нафтидрофурил
C04AX23,Butalamin,Буталамин
C04AX24,Visnadin,Виснадин
C04AX26,Setiyedil,Цетиедил
C04AX27,Sinepazid,Цинепазид
C04AX28,Ifenprodil,Ифенпродил
C04AX30,Azapetin,Азапетин
C04AX32,Fazudil,Фазудил
C04AX33,Klazosentan,Клазосентан
C05AA,Kortikosteroidlar,Кортикостероиды
C05AA01,Gidrokortizon,Гидрокортизон
C05AA04,Prednizolon,Преднизолон
C05AA05,Betametazon,Бетаметазон
C05AA06,Ftormetolon,Фторметолон
C05AA08,Fluokortolon,Флуокортолон
C05AA09,Deksametazon,Дексаметазон
C05AA10,Fluotsinolon atsetonid,Флуоцинолона ацетонид
C05AA11,Fluotsinonid,Флуоцинонид
C05AA12,Triamsinolon,Триамцинолон
C05AD,Mahalliy anestetiklar,Местные анестетики
C05AD01,Lidokain,Лидокаин
C05AD02,Tetrakain,Тетракаин
C05AD03,Benzokain,Бензокаин
C05AD04,Sinxokain,Цинхокаин
C05AD05,Prokain,Прокаин
C05AD06,Oksetakain,Оксетакаин
C05AD07,Pramokain,Прамокаин
C05AE,Miorelaksantlar,Миорелаксанты
C05AE01,Nitroglitserin,Нитроглицерин
C05AE02,Izosorbid dinitrati,Изосорбида динитрат
C05AE03,Diltiazem,Дилтиазем
C05AX,Gemmoroy va anal yoriqlarni mahalliy davolash uchun boshqa preparatlar,Другие препараты для местного лечения геморроя и анальных трещин
C05AX01,Alyuminiy preparatlari,Алюминия препараты
C05AX02,Vismut preparatlari boshqa vositalar bilan majmuada,Висмута препараты в комбинации со средствами
C05AX03,Gemmoroy va anal yoriqlarni mahalliy davolash uchun boshqa preparatlar,Препараты для лечения геморроя и анальных трещин в комбинации
C05AX04,Sink preparatlari,Цинка препараты
C05AX05,Tribenozid,Трибенозид
C05AX06,Fenilefrin,Фенилэфрин
C05BA,Mahalliy qoʻllash uchun geparinlar yoki geparinoidlar,Гепарины или гепариноиды для местного применения
C05BA01,Organik geparinoidlar,Гепариноиды органические
C05BA02,Natriy apolat,Натрия аполат
C05BA03,Geparin natriy,Гепарин натрия
C05BA04,Pentozan polisulfat natriy,Пентозана полисульфат натрия
C05BA51,Geparinoidlar boshqa preparatlar bilan majmuada,Гепариноиды в комбинации с другими препаратами
C05BA53,Geparin natriy vositalar bilan majmuada,Гепарин натрия в комбинации со средствами
C05BB,Lokal inyeksiya uchun venani sklerozlovchi vositalar,Веносклерозирующие средства для локальных инъекций
C07BB02,Metoprolol va tiazidlar,Метопролол и тиазиды
C07BB03,Atenolol va tiazidlar,Атенолол и тиазиды
C07BB04,Asebutolol va tiazidlar,Ацебутолол и тиазиды
C07BB06,Bevantolol va tiazidlar,Бевантолол и тиазиды
C07BB07,Bisoprolol va tiazidlar,Бисопролол и тиазиды
C07BB12,Nebivolol va tiazidlar,Небиволол и тиазиды
C07BB52,"Metoprolol, tiazid hosilalari va boshqa preparatlar bilan majmuada","Метопролол, в комбинации с тиазида производными и прочими препаратами"
C05BX,Venani sklerozlovchi boshqa preparatlar,Другие веносклерозирующие препараты
C05BX01,Kalsiy dobezilati,Кальция добезилат
C05BX51,Kalsiy dobezilati boshqa vositalar bilan majmuada,Кальция добезилат в комбинации со средствами
C05CA,Bioflavonoidlar,Биофлавоноиды
C05CA01,Rutozid,Рутозид
C05CA02,Monokserutin,Моноксерутин
C05CA03,Diosmin,Диосмин
C05CA04,Trokserutin,Троксерутин
C05CA05,Gidrosmin,Гидросмин
C05CA51,Rutozid boshqa vositalar bilan majmuada,Рутозид в комбинации со средствами
C05CA53,Diosmin boshqa vositalar bilan majmuada,Диосмин в комбинации со средствами
C05CA54,Trokserutin boshqa vositalar bilan majmuada,Троксерутин в комбинации со средствами
C05CX,Kapillyarlar oʻtkazuvchanligini pasaytiruvchi boshqa preparatlar,Другие препараты снижающие проницаемость капилляров
C05CX01,Tribenozid,Трибенозид
C05CX02,Naftazon,Нафтазон
C05CX03,Kanskiy kashtan urug'lari,Канского каштана семена
C07AA,Noselektiv beta-adrenoblokatorlar,Неселективные бета-адреноблокаторы
C07AA02,Oksprenolol,Окспренолол
C07AA03,Pindolol,Пиндолол
C07AA05,Propranolol,Пропранолол
C07AA06,Timolol,Тимолол
C07AA07,Sotalol,Соталол
C07AA12,Nadolol,Надолол
C07AA14,Mepindolol,Мепиндолол
