CODE,UZ,RU,EN
1712216,Qiziltepa tumani (Markaz -Qiziltepa sh.),Кызылтепинский район (Центр -г. Кызылтепа),
1712230,Navbahor tumani (Markaz -Beshrabot a.p.),Навбахорский район (Центр -нп Бешрабад),
1712234,Karmana tumani (Markaz -Karmana shaharchasi),Карманинский район (Центр -гп Кармана),
1712238,Nurota tumani (Markaz -Nurota sh.),Нуратинский район (Центр -г. Нурата),
1712244,Tomdi tumani (Markaz -Tomdibuloq shaharchasi),Тамдынский район (Центр -гп Томдибулок),
1712251,Xatirchi tumani (Markaz -Yangirabod sh.),Хатырчинский район (Центр -г. Янгирабод),
1712400,Navoiy viloyatining viloyat ahamiyatiga ega shaharlarii,Города областного подчинения Навоийской области,
1712401,Navoiy,Навои,
1712412,G‘ozg‘on,Газган,
1714200,Namangan viloyatining tumanlari,Районы Наманганской области,
1714204,Mingbuloq tumani (Markaz -Jo‘masho‘y shaharchasi),Мингбулакский pайон (Центр -гп Джумашуй),
1714207,Kosonsoy tumani (Markaz -Kosonsoy sh.),Касансайский район (Центр -г. Касансай),
1714212,Namangan tumani (Markaz -Toshbuloq shaharchasi),Наманганский район (Центр -гп Ташбулак),
1714216,Norin tumani (Markaz -Xaqqulobod sh.),Нарынский район (Центр -г. Хаккулабад),
1714219,Pop tumani (Markaz -Pop sh.),Папский район (Центр -г. Пап),
1714224,To‘raqo‘rg‘on tumani (Markaz -To‘raqo‘rg‘on sh.),Туракурганский район (Центр -г. Туракурган),
1714229,Uychi tumani (Markaz -Uychi shaharchasi),Уйчинский район (Центр -гп Уйчи),
1714234,Uchqo‘rg‘on tumani (Markaz -Uchqo‘rg‘on sh.),Учкурганский район (Центр -г. Учкурган),
1714236,Chortoq tumani (Markaz -Chortoq sh.),Чартакский район (Центр -г. Чартак),
1714237,Chust tumani (Markaz -Chust sh.),Чустский район (Центр -г. Чуст),
1714242,Yangiqo‘rg‘on tumani (Markaz -Yangiqo‘rg‘on shaharchasi),Янгикурганский район (Центр -гп Янгикурган),
1714400,Namangan viloyatining viloyat ahamiyatiga ega shaharlari,Города областного подчинения Наманганской области,
1714401,Namangan,Наманган,
1718200,Samarqand viloyatinung tumanlari,Районы Самаркандской области,
1718203,Oqdaryo tumani (Markaz -Loyish shaharchasi),Акдарьинский районм (Центр -гп Лаиш),
1718206,Bulung‘ur tumani (Markaz -Bulung‘ur sh.),Булунгурский район (Центр -г. Булунгур),
1718209,Jomboy tumani (Markaz -Jomboy sh.),Джамбайский район (Центр -г. Джамбай),
1718212,Ishtixon tumani (Markaz -Ishtixon sh.),Иштыханский район (Центр -г. Иштыхан),
1718215,Kattaqo‘rg‘on tumani (Markaz -Payshanba shaharchasi),Каттакурганский район (Центр -гп Пайшанба),
1718216,Qo‘shrabot tumani (Markaz -Qo‘shrabot shaharchasi),Кошрабадский район (Центр -гп Кушрабад),
1718218,Narpay tumani (Markaz -Oqtosh sh.),Нарпайский район (Центр -г. Акташ),
1718224,Payariq tumani (Markaz -Payariq sh.),Пайарыкский район (Центр -г.Пайаpык),
1718227,Pastdarg‘om tumani (Markaz -Juma sh.),Пастдаргомский район (Центр -г. Джума),
1718230,Paxtachi tumani (Markaz -Ziyovuddin shaharchasi),Пахтачийский район (Центр -гп Зиатдин),
1718233,Samarqand tumani (Markaz -Gulobod shaharchasi),Самаркандский район (Центр -гп Гулабад),
1718235,Nurobod tumani (Markaz -Nurobod sh.),Нурабадский район (Центр -г. Нурабад),
1718236,Urgut tumani (Markaz -Urgut sh.),Ургутский район (Центр -г. Ургут),
1718238,Tayloq tumani (Markaz -Toyloq shaharchasi),Тайлякский район (Центр -гп Тайлок),
1718400,Samarqand viloyatining viloyat ahamiyatiga ega shaharlari,Города областного подчинения Самаркандской области,
1718401,Samarqand,Самарканд,
1718406,Kattaqo‘rg‘on,Каттакурган,
1722200,Surxondaryo viloyatining tumanlari,Районы Сурхандарьинской области,
1722201,Oltinsoy tumani (Markaz -Qorliq shaharchasi),Алтынсайский район (Центр -гп Корлик),
1722202,Angor tumani (Markaz -Angor shaharchasi),Ангорский район (Центр -гп Ангор),
1722203,Bandixon tumani (Markaz -Bandixon shaharchasi),Бандихонский район (Центр -гп Бандихон),
1722204,Boysun tumani (Markaz -Boysun sh.),Байсунский район (Центр -г. Байсун),
1722207,Muzrabot tumani (Markaz -Xalqobod shaharchasi),Музрабадский район (Центр -гп Халкабад),
1722210,Denov tumani (Markaz -Denov sh.),Денауский район (Центр -г. Денау),
1722212,Jarqo‘rg‘on tumani (Markaz -Jarqo‘rg‘on sh.),Джаркурганский район (Центр -г. Джаркурган),
1722214,Qumqo‘rg‘on tumani (Markaz -Qumqo‘rg‘on sh.),Кумкурганский район (Центр -г. Кумкурган),
1722215,Qiziriq tumani (Markaz -Sariq shaharchasi),Кизирикский район (Центр -гп Сарик),
1722217,Sariosiyo tumani (Markaz -Sariosiyo shaharchasi),Сариасийский район (Центр -гп Сариасия),
1722220,Termiz tumani (Markaz -Uchqizil shaharchasi),Термезский район (Центр -гп Учкизил),
1722221,Uzun tumani (Markaz -Uzun shaharchasi),Узунский район (Центр -гп Узун),
1722223,Sherobod tumani (Markaz -Sherobod sh.),Шерабадский район (Центр -г. Шерабад),
1722226,Sho‘rchi tumani (Markaz -Sho‘rchi sh.),Шурчинский район (Центр -г. Шурчи),
1722400,Surxondaryo viloyatining viloyat ahamiyatiga ega shaharlari,Города областного подч. Сурхандарьинской области,
1722401,Termiz,Термез,
1724200,Sirdaryo viloyatining tumanlari,Районы Сырдарьинской области,
1724206,Oqoltin tumani (Markaz -Sardoba shaharchasi),Акалтынский район (Центр -гп Сардоба),
1724212,Boyovut tumani (Markaz -Boyovut shaharchasi),Баяутский район (Центр -гп Баяут),
1724216,Sayxunobod tumani (Markaz -Sayxun shaharcha),Сайхунабадский район (Центр -гп Сайхун),
1724220,Guliston tumani (Markaz -Dehqonobod shaharchasi),Гулистанский район (Центр -гп Дехканабад),
1724226,Sardoba tumani (Markaz -Paxtaobod shaharchasi),Сардобский район (Центр -гп Пахтаабад),
1724228,Mirzaobod tumani (Markaz -Navro‘z shaharchasi),Мирзаабадский район (Центр -гп Навруз),
1724231,Sirdaryo tumani (Markaz -Sirdaryo sh.),Сырдарьинский район (Центр -г. Сырдарья),
1724235,Xovos tumani (Markaz -Xovos shaharchasi),Хавасский район (Центр -гп Хавас),
1724400,Sirdaryo viloyatining viloyat ahamiyatiga ega shaharlari,Города областного подчинения Сырдарьинской области,
1724401,Guliston,Гулистан,
1724410,Shirin,Шиpин,
1724413,Yangiyer,Янгиеp,
1726260,Toshkent shahrining tumanlari,Районы города Ташкента,
1726262,Uchtepa tumani,Учтепинский район,
1726264,Bektemir tumani,Бектемирский район,
1726266,Yunusobod tumani,Юнусабадский район,
